Nome,Punteggio,Fantamedia anno 2024-2025,Fantamedia anno 2023-2024,Fantamedia anno 2022-2023,Presenze 2024-2025,Fanta Media 2024-2025,FM su tot gare 2024-2025,Presenze previste,Gol previsti,Assist previsti,Ruolo,Skills,Buon investimento,Resistenza infortuni,Consigliato prossima giornata,Nuovo acquisto,Infortunato,Squadra,Trend,Presenze campionato corrente
NELSSON VICTOR,52,6.00,nd,nd,4,6.00,0.63,21/30,0/3,0/2,DIF,['Titolare'],40,60,False,True,False,Verona,STABLE,4
HEGGEM TORBJOR,53,nd,nd,nd,45,0.00,0.00,11/20,0/2,0/2,DIF,['Panchinaro'],40,80,False,True,False,Bologna,STABLE,0
FLORIANI MUSSOLINI ROMANO,52,nd,nd,nd,36,0.00,0.00,11/20,0/2,0/3,DIF,"['Outsider', 'Panchinaro', 'Falloso', 'Giovane talento']",40,60,False,True,False,Cremonese,STABLE,0
VEIGA DANILO,51,5.73,nd,nd,11,5.73,1.66,0/10,0/1,0/1,DIF,"['Titolare', 'Giovane talento']",20,60,False,False,False,Lecce,STABLE,11
FRESE MARTIN,52,5.92,nd,nd,6,5.92,0.93,21/30,0/3,3/5,DIF,"['Titolare', 'Buona Media', 'Assistman']",40,60,False,False,False,Verona,STABLE,6
VALENTINI NICOLAS,52,5.43,nd,nd,14,5.43,2.00,21/30,0/3,0/3,DIF,['Titolare'],40,60,False,False,False,Verona,STABLE,14
KOUASSI CHRIST-OWEN,51,nd,nd,nd,33,0.00,0.00,0/10,0/1,0,DIF,"['Outsider', 'Panchinaro', 'Buona Media', 'Falloso', 'Giovane talento']",40,80,False,True,False,Lecce,STABLE,0
PROVSTGAARD OLIVER,51,6.50,nd,nd,1,6.50,0.17,11/20,0/2,0/1,DIF,['Panchinaro'],40,60,False,False,False,Lazio,STABLE,1
CECCHERINI FEDERICO,51,nd,nd,5.90,0,0.00,0.00,21/30,0/2,0/1,DIF,"['Titolare', 'Falloso']",40,60,False,False,False,Cremonese,STABLE,0
DO LAGO PONTES ESTEVES TOMAS,50,nd,nd,nd,0,0.00,0.00,11/20,0/3,0/3,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Pisa,STABLE,0
BONIFAZI KEVIN,51,5.25,5.75,5.65,2,5.25,0.28,11/20,0/3,0/3,DIF,['Panchinaro'],40,40,False,True,False,Bologna,DOWN,2
SMOLCIC IVAN,50,5.75,nd,nd,8,5.75,1.21,0/10,0/2,0/3,DIF,['Panchinaro'],40,60,False,False,False,Como,STABLE,8
CUADRADO JUAN,51,6.13,6.22,5.92,19,6.13,3.07,11/20,4/7,4/7,DIF,"['Outsider', 'Titolare', 'Buona Media']",40,20,False,True,False,Pisa,DOWN,19
BIANAY BALCOT CÔME,50,nd,nd,nd,8,0.00,0.00,0/10,0,0,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Torino,STABLE,0
MISSORI FILIPPO,50,nd,5.60,nd,4,0.00,0.00,0/10,0/3,0/3,DIF,"['Titolare', 'Buona Media', 'Giovane talento']",40,60,False,False,False,Sassuolo,STABLE,0
LOVIK MATHIAS,49,5.75,nd,nd,4,5.75,0.61,11/20,0/3,3/5,DIF,"['Outsider', 'Panchinaro', 'Goleador', 'Giovane talento']",40,60,False,False,False,Parma,STABLE,4
TOURE ISSAK,49,5.35,nd,nd,10,5.35,1.41,11/20,0/3,0/1,DIF,"['Panchinaro', 'Giovane talento']",40,60,False,False,False,Udinese,STABLE,10
CANESTRELLI SIMONE,50,nd,nd,nd,36,0.00,0.00,21/30,0/2,0/2,DIF,['Titolare'],20,60,False,False,False,Pisa,STABLE,0
MARCANDALLI ALESSANDRO,50,5.75,nd,nd,8,5.75,1.21,11/20,0/2,0/3,DIF,"['Panchinaro', 'Giovane talento']",20,60,False,True,False,Genoa,STABLE,8
ROMAGNA FILIPPO,48,nd,nd,5.50,23,0.00,0.00,11/20,0/2,0/1,DIF,['Panchinaro'],60,60,False,False,False,Sassuolo,STABLE,0
SIEBERT JAMIL,47,nd,nd,nd,21,0.00,0.00,21/30,0/3,0/3,DIF,"['Titolare', 'Falloso']",60,60,False,True,False,Lecce,STABLE,0
DI PARDO ALESSANDRO,47,nd,5.81,nd,26,0.00,0.00,0/10,0/2,0/2,DIF,['Panchinaro'],20,60,False,True,False,Cagliari,STABLE,0
EBOSSE ENZO,48,5.25,nd,5.54,2,5.25,0.28,21/30,0/1,0/2,DIF,['Titolare'],40,60,False,True,False,Verona,STABLE,2
JEAN GABY,47,5.75,nd,nd,18,5.75,2.72,11/20,0/3,0/3,DIF,['Titolare'],40,60,False,False,True,Lecce,STABLE,18
CIRCATI ALESSANDRO,47,5.75,nd,nd,6,5.75,0.91,21/30,0/3,0/3,DIF,"['Outsider', 'Titolare', 'Falloso', 'Giovane talento']",40,60,False,False,False,Parma,STABLE,6
SAZONOV SABA,45,5.00,5.69,nd,1,5.00,0.13,11/20,0/1,0/1,DIF,"['Panchinaro', 'Falloso', 'Giovane talento']",40,60,False,False,False,Torino,DOWN,1
